x,y,species cloglog values
1.0,1.0,0.0049686665
2.0,2.0,0.04873859
3.0,3.0,0.010391672
4.0,4.0,0.14745238
5.0,5.0,0.015817393
6.0,6.0,0.11338497
7.0,7.0,0.06268965
8.0,8.0,0.06979982
9.0,9.0,0.1232586
10.0,10.0,0.006690597
11.0,11.0,0.009686113
12.0,12.0,0.55155617
13.0,13.0,0.47989342
14.0,14.0,0.20165643
15.0,15.0,0.12331917
16.0,16.0,0.008190023
17.0,17.0,0.00895407
18.0,18.0,0.015259543
19.0,19.0,0.4547005
20.0,20.0,0.0065947813
21.0,21.0,0.24156804
22.0,22.0,0.0020432158
23.0,23.0,0.006491177
24.0,24.0,8.861404E-4
25.0,25.0,0.10905957
26.0,26.0,0.052062448
27.0,27.0,0.020866556
28.0,28.0,0.0855835
29.0,29.0,0.025646297
30.0,30.0,0.0055153416
31.0,31.0,0.10175814
32.0,32.0,0.017441832
33.0,33.0,0.08260959
34.0,34.0,0.118894465
35.0,35.0,0.0050463956
36.0,36.0,0.12857297
37.0,37.0,0.13067488
38.0,38.0,0.0029176576
39.0,39.0,0.025808766
40.0,40.0,0.008589489
41.0,41.0,0.0014272211
42.0,42.0,0.2887062
43.0,43.0,0.029721322
44.0,44.0,0.0036949115
45.0,45.0,0.7216171
46.0,46.0,0.12429646
47.0,47.0,0.4373486
48.0,48.0,0.54119146
49.0,49.0,0.028373435
50.0,50.0,0.007609971
51.0,51.0,0.026776131
52.0,52.0,0.15994023
53.0,53.0,4.7266437E-4
54.0,54.0,0.11084921
55.0,55.0,0.04807769
56.0,56.0,0.12557977
57.0,57.0,0.084429
58.0,58.0,0.0034356588
59.0,59.0,0.09527283
60.0,60.0,0.39090198
61.0,61.0,0.039664175
62.0,62.0,0.007492393
63.0,63.0,0.26198927
64.0,64.0,0.0035442146
65.0,65.0,0.11974384
66.0,66.0,0.013401794
67.0,67.0,0.19395009
68.0,68.0,0.0055862735
69.0,69.0,0.37156084
70.0,70.0,0.10729851
71.0,71.0,0.012451556
72.0,72.0,0.003058173
73.0,73.0,0.06322816
74.0,74.0,0.0029429726
75.0,75.0,0.18470076
76.0,76.0,0.095566
77.0,77.0,0.036283877
78.0,78.0,0.06565473
79.0,79.0,0.08264925
80.0,80.0,0.10615352
81.0,81.0,0.32095262
82.0,82.0,0.06186431
83.0,83.0,0.0059363907
84.0,84.0,0.13350739
85.0,85.0,0.30708387
86.0,86.0,0.6711631
87.0,87.0,0.0044281958
88.0,88.0,0.002568239
89.0,89.0,0.07301145
90.0,90.0,0.013258285
91.0,91.0,0.0022769794
92.0,92.0,0.021747619
93.0,93.0,0.2617237
94.0,94.0,0.006500925
95.0,95.0,0.09240452
96.0,96.0,0.14214727
97.0,97.0,0.010463448
98.0,98.0,0.07557461
99.0,99.0,0.012067364
100.0,100.0,0.49349192
101.0,101.0,0.0064692013
102.0,102.0,0.5138883
103.0,103.0,0.006653416
104.0,104.0,0.16217645
105.0,105.0,0.0031813334
106.0,106.0,0.045934528
107.0,107.0,0.037823103
108.0,108.0,0.026172835
109.0,109.0,0.0015305997
110.0,110.0,0.0043334235
111.0,111.0,0.0042457697
112.0,112.0,0.061057683
113.0,113.0,0.0058340016
114.0,114.0,0.005128967
115.0,115.0,0.058495346
116.0,116.0,0.14235964
117.0,117.0,0.037304416
118.0,118.0,0.14308377
119.0,119.0,0.40069222
120.0,120.0,0.14445573
121.0,121.0,0.07521498
122.0,122.0,0.021311676
123.0,123.0,0.004756623
124.0,124.0,0.010202652
125.0,125.0,0.06270966
126.0,126.0,0.34306815
127.0,127.0,0.042374235
128.0,128.0,0.118436836
129.0,129.0,0.20146292
130.0,130.0,0.0034732178
131.0,131.0,0.011217974
132.0,132.0,0.009535113
133.0,133.0,0.014124828
134.0,134.0,0.27268568
135.0,135.0,0.07047461
136.0,136.0,0.047965545
137.0,137.0,0.0041877343
138.0,138.0,0.48512542
139.0,139.0,0.13141403
140.0,140.0,0.6566189
141.0,141.0,0.06168686
142.0,142.0,0.1002217
143.0,143.0,0.11000882
144.0,144.0,0.008552748
145.0,145.0,0.0040514334
146.0,146.0,0.0049522156
147.0,147.0,0.07370075
148.0,148.0,0.42348006
149.0,149.0,0.032097246
150.0,150.0,0.39963895
151.0,151.0,0.34135896
152.0,152.0,0.044782706
153.0,153.0,0.0827763
154.0,154.0,0.023316167
155.0,155.0,0.6244009
156.0,156.0,0.1296146
157.0,157.0,0.19914909
158.0,158.0,0.08587089
159.0,159.0,0.017220123
160.0,160.0,0.00330212
161.0,161.0,0.027490191
162.0,162.0,0.055928867
163.0,163.0,0.13634215
164.0,164.0,0.032628246
165.0,165.0,0.017459106
166.0,166.0,0.08804647
167.0,167.0,0.089869164
168.0,168.0,0.048661977
169.0,169.0,0.05545846
170.0,170.0,0.00882304
171.0,171.0,0.06423705
172.0,172.0,0.06393952
173.0,173.0,0.42487925
174.0,174.0,0.13400131
175.0,175.0,0.23906724
176.0,176.0,0.36926576
177.0,177.0,0.003783397
178.0,178.0,0.08970897
179.0,179.0,0.0021695665
180.0,180.0,0.038334485
181.0,181.0,0.5047544
182.0,182.0,0.123267725
183.0,183.0,0.009432628
184.0,184.0,0.18690675
185.0,185.0,9.3731086E-4
186.0,186.0,0.0078033395
187.0,187.0,0.020807615
188.0,188.0,0.55547637
189.0,189.0,0.43318653
190.0,190.0,0.2710255
191.0,191.0,0.4934054
192.0,192.0,0.021650536
193.0,193.0,0.23981816
194.0,194.0,0.022865184
195.0,195.0,0.007733152
196.0,196.0,0.024080347
197.0,197.0,0.086780585
198.0,198.0,0.058950584
199.0,199.0,0.0037230481
200.0,200.0,0.54345304
201.0,201.0,0.1305934
202.0,202.0,0.03377168
203.0,203.0,0.59549606
204.0,204.0,0.40699115
205.0,205.0,0.0013705234
206.0,206.0,0.07203936
207.0,207.0,0.33253098
208.0,208.0,6.473178E-4
209.0,209.0,0.2001257
210.0,210.0,6.4634444E-4
211.0,211.0,0.0333334
212.0,212.0,0.1106323
213.0,213.0,0.058462884
214.0,214.0,0.015984962
215.0,215.0,0.011043413
216.0,216.0,0.19370075
217.0,217.0,0.0728663
218.0,218.0,0.065342225
219.0,219.0,0.10278123
220.0,220.0,0.012321383
221.0,221.0,2.9017942E-4
222.0,222.0,0.011921373
223.0,223.0,0.17719378
224.0,224.0,0.07802057
225.0,225.0,0.0319812
226.0,226.0,0.30326056
227.0,227.0,0.016091764
228.0,228.0,0.0016427487
229.0,229.0,0.05083324
230.0,230.0,0.07316771
231.0,231.0,0.0067572063
232.0,232.0,0.060149252
233.0,233.0,0.023563998
234.0,234.0,0.0023025176
235.0,235.0,0.0013898556
236.0,236.0,0.06444525
237.0,237.0,0.08351025
238.0,238.0,0.001772585
239.0,239.0,0.199108
